mount,orient,d_set_m,scan,d_m,px,py,lx,ly,lz,stamp,n_new,best_all,best_ns,best_rings,best_ring_list,near_n,near_rings,near_d_m,nearxy_n,nearxy_rings,nearxy_d_m,alarm_m3,alarm_m5,alarm_m10,alarm_m20,alarm_xy5,cand_m3,cand_m5,cand_m10,cand_m20,cand_xy5,best
lk0,toward,32.5,9,32.5,0.001,-92.486,0.0,-59.9855,0.8481,77.2,6,6,6,2,7 8,2,1,0.003,6,2,0.062,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,35.0,0,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.3,4,4,4,2,7 8,2,1,0.019,4,2,0.027,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,1,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.4,4,4,4,2,7 8,2,1,0.02,4,2,0.011,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,2,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.5,4,4,4,2,7 8,2,1,0.027,4,2,0.028,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,3,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.6,4,4,4,2,7 8,2,1,0.048,4,2,0.016,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,4,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.7,4,4,4,2,7 8,2,1,0.088,4,2,0.03,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,5,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.8,4,4,4,2,7 8,2,1,0.078,4,2,0.04,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,6,35.0,0.001,-94.986,0.0,-59.9855,0.8481,77.9,4,4,4,2,7 8,2,1,0.03,4,2,0.031,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,7,35.0,0.001,-94.986,0.0,-59.9855,0.8481,78.0,4,4,4,2,7 8,2,1,0.056,4,2,0.013,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,8,35.0,0.001,-94.986,0.0,-59.9855,0.8481,78.1,4,4,4,2,7 8,2,1,0.003,4,2,0.038,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,35.0,9,35.0,0.001,-94.986,0.0,-59.9855,0.8481,78.2,4,4,4,2,7 8,2,1,0.009,4,2,0.034,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,37.5,0,37.5,0.001,-97.486,0.0,-59.9855,0.8481,78.3,2,2,2,1,7,1,1,0.251,1,1,0.251,0,0,0,0,0,0,0,0,0,0,0
lk0,toward,37.5,1,37.5,0.001,-97.486,0.0,-59.9855,0.8481,78.4,2,2,2,1,7,1,1,0.233,1,1,0.233,0,0,0,0,0,0,0,0,0,0,0
